ra decl field nid jd exp_mjd magpsf sigmapsf fid ssnamenr fieldRA_deg fieldDec_deg visit_id mjd HEclObsy_X_au HEclObsy_Y_au HEclObsy_Z_au obs_id designation splitname r_au r_au_y theta_x_deg theta_y_deg theta_x_eq_deg theta_y_eq_deg
284.7547494 -10.148985 385 612 2458366.6285880003 58366.12858800031 15.8658 0.030575099999999997 2 3883 287.65978 -9.85 1108 58366.12858800031 0.9604279131012556 -0.3071599410441055 4.6145618435244895e-05 96437 03883 3883 2.374031395 2.374031395 -4.268955911661725 0.1338629517852068 -5.739216319304944 -1.0189433803243997
288.45131989999993 -10.8864781 385 612 2458366.6285880003 58366.12858800031 18.5619 0.10874500000000001 2 10989 287.65978 -9.85 1108 58366.12858800031 0.9604279131012556 -0.3071599410441055 4.6145618435244895e-05 96426 10989 10989 5.1807991925 5.1807991925 -1.683071108380446 -0.8905415528519731 -2.042645819304994 -1.7564364803243997
289.9859373 -6.2767487 385 612 2458366.6285880003 58366.12858800031 18.6856 0.131955 2 26490 287.65978 -9.85 1108 58366.12858800031 0.9604279131012556 -0.3071599410441055 4.6145618435244895e-05 96418 26490 26490 2.8131005793 2.8131005793 0.05277182117953047 1.99295960907672 -0.5080284193049351 2.8532929196756003
288.276979 -7.5170258 385 612 2458366.6285880003 58366.12858800031 18.3593 0.0702304 2 55139 287.65978 -9.85 1108 58366.12858800031 0.9604279131012556 -0.3071599410441055 4.6145618435244895e-05 96419 55139 55139 2.7125168426 2.7125168426 -1.345281447216032 1.4269180464853002 -2.2169867193049413 1.6130158196756001
289.2037073 -12.91351 385 612 2458366.6285880003 58366.12858800031 17.9321 0.0970432 2 7933 287.65978 -9.85 1108 58366.12858800031 0.9604279131012556 -0.3071599410441055 4.6145618435244895e-05 96420 07933 7933 2.2086325574 2.2086325574 -1.4133123726013241 -2.3700594215530923 -1.2902584193049051 -3.7834683803244005
288.3495164 -12.6926162 385 612 2458366.6285880003 58366.12858800031 19.2064 0.192902 2 103333 287.65978 -9.85 1108 58366.12858800031 0.9604279131012556 -0.3071599410441055 4.6145618435244895e-05 96461 A3333 103333 2.0357295119 2.0357295119 -1.9893464395432836 -2.108285190952344 -2.144449319304897 -3.5625745803243998
290.2285912 -6.2773087 385 612 2458366.6285880003 58366.12858800031 16.2426 0.0366999 2 2606 287.65978 -9.85 1108 58366.12858800031 0.9604279131012556 -0.3071599410441055 4.6145618435244895e-05 96421 02606 2606 2.8986348781 2.8986348781 0.2242986718363264 1.9531398885977993 -0.2653745193049417 2.8527329196756
290.65465930000005 -7.5849847000000015 385 612 2458366.6285880003 58366.12858800031 18.4151 0.128449 2 48099 287.65978 -9.85 1108 58366.12858800031 0.9604279131012556 -0.3071599410441055 4.6145618435244895e-05 96423 48099 48099 3.0075190739 3.0075190739 0.33287764044178886 1.0093548761715887 0.16069358069512418 1.5450569196755986
291.2933169 -12.239251800000002 385 612 2458366.6285880003 58366.12858800031 18.2516 0.11823499999999999 2 73638 287.65978 -9.85 1108 58366.12858800031 0.9604279131012556 -0.3071599410441055 4.6145618435244895e-05 96424 73638 73638 2.7571719379000004 2.7571719379000004 0.13393352593535238 -2.194522377397897 0.7993511806950551 -3.1092101803244017
287.8049385 -8.6962782 385 612 2458366.6285880003 58366.12858800031 16.1273 0.0387083 2 7075 287.65978 -9.85 1108 58366.12858800031 0.9604279131012556 -0.3071599410441055 4.6145618435244895e-05 96425 07075 7075 2.2680254701 2.2680254701 -1.849789553928223 0.6956327167487885 -2.6890272193049327 0.43376341967559995
